Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text,Unnamed: 9
NCT00567190,Organ function,Inadequate organ function (labs within 28 days),Breast Cancer,Clinical,Exclusion,Observation,,Abnormal liver function tests,
NCT00567190,Systemic disease,Current severe uncontrolled systemic disease,Breast Cancer,Comorbidity,Exclusion,Condition,,Uncontrolled diabetes,
NCT00567190,Surgery/trauma,Major surgery/traumatic injury within 28 days or planned major surgery,Breast Cancer,Treatment History,Exclusion,Procedure,,Major abdominal surgery 2 weeks ago,
NCT00567190,Pregnancy/lactation,Pregnant or lactating women,Breast Cancer,Reproductive,Exclusion,Observation,LOINC: 2106-3 (Pregnancy test),Pregnant at baseline,
NCT00567190,Investigational treatment,Received investigational treatment within 28 days,Breast Cancer,Treatment History,Exclusion,Procedure,,Participated in trial 3 weeks ago,
NCT00567190,Infections,"Current HIV, HBV, HCV infection",Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8 (HIV); 5195-3 (HBsAg); 13955-0 (HCV RNA),HCV RNA positive,
NCT00567190,Antibiotics,IV antibiotics for infection within 14 days,Breast Cancer,Treatment History,Exclusion,Medication,,Received IV antibiotics last week,
NCT00567190,Corticosteroids,Chronic daily corticosteroid use (excluding inhaled),Breast Cancer,Medication Use,Exclusion,Medication,RxNorm: 8637 (Prednisone),On daily oral prednisone,
NCT00567190,Hypersensitivity,Known hypersensitivity to study drugs,Breast Cancer,Comorbidity,Exclusion,Condition,,Allergy to trastuzumab,
NCT00567190,Compliance,Unable/unwilling to comply with protocol requirements,Breast Cancer,Administrative,Exclusion,Consent,,Patient non-compliance noted,
NCT00310180,Breast adenocarcinoma,Operable; histologically confirmed; completed primary surgery,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254838004 (Adenocarcinoma of breast); ICD-10: C50.x,Histology confirmed operable breast adenocarcinoma,
NCT00310180,ER/PR,ER and/or PR positive (per pathology lab),Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 85337-4 (Estrogen receptor); LOINC: 85339-0 (Progesterone receptor),"ER positive, PR positive tumor",
NCT00310180,Axillary nodes,Negative (sentinel LN biopsy/axillary dissection per AJCC 6th edition),Breast Cancer,Diagnosis,Inclusion,Observation,SNOMED: 76751001 (Negative lymph nodes),No axillary node involvement,
NCT00310180,Tumor size,between 1.1 and 5.0 cm,Breast Cancer,Diagnosis,Inclusion,Observation,LOINC: 21889-1 (Tumor size),Tumor measured 2.5 cm,
NCT00310180,Histological grade,Intermediate or poor grade (if tumor around 1 cm),Breast Cancer,Diagnosis,Inclusion,Observation,"SNOMED: 371471004 (Histologic grade, malignant neoplasm)",Intermediate grade tumor,
NCT00310180,Lymphovascular invasion,Required if tumor around 1 cm,Breast Cancer,Diagnosis,Inclusion,Observation,SNOMED: 258830009 (Lymphovascular invasion present),Tumor 0.9 cm with LVI,
NCT00066690,SOFT,Premenopausal status,Estradiol (E2) in premenopausal range; confirmed after surgery or after chemotherapy,Breast Cancer,Demographic/Clinical,Inclusion,Observation,LOINC: 2243-4 (Estradiol),Patient estradiol level confirms premenopausal status
NCT00066690,SOFT,Randomization post-surgery (no chemo),Within 12 weeks after definitive surgery,Breast Cancer,Treatment History,Inclusion,Procedure,SNOMED: 387713003 (Surgical procedure),Randomized within 3 months of surgery
NCT00066690,SOFT,Randomization post-chemotherapy,After completing chemotherapy; within 8 months of last dose,Breast Cancer,Treatment History,Inclusion,Procedure,SNOMED: 367336001 (Chemotherapy),Randomized 5 months after last chemo dose
NCT00066690,SOFT,Adjuvant trastuzumab use,Permitted; not counted as chemotherapy for eligibility timing,Breast Cancer,Treatment History,Inclusion,MedicationStatement,RxNorm: 1596453 (Trastuzumab),Patient received adjuvant trastuzumab (Herceptin)
