Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text
NCT02775435,Prior systemic therapy,Prior cytotoxic chemo/targeted therapy for metastatic disease,Lung Cancer,Treatment History,Exclusion,Procedure,,Received prior targeted therapy for metastatic NSCLC
NCT02486718,Prior therapy,Hormonal cancer therapy or RT within 5 years,Lung Cancer,Treatment History,Exclusion,Procedure,,Hormonal therapy within last 3 years
NCT02220894,Prior transplant,Allogeneic tissue/solid organ transplant,Lung Cancer,Clinical,Exclusion,Condition,,History of kidney transplant
NCT02075840,QT prolonging drugs,Drug with QT prolonging effect within 14 days,Lung Cancer,Medication Use,Exclusion,Medication,,Taking amiodarone
NCT02075840,QTc interval,QTc > 470 ms or symptomatic bradycardia,Lung Cancer,Clinical,Exclusion,Observation,LOINC: 8636-3 (QT interval),Baseline QTc 490 ms
NCT02296125,QTc interval,QTc >470 ms; abnormal rhythm/conduction; risk factors for QT prolongation,Lung Cancer,Clinical,Exclusion,Observation,LOINC: 8636-3,QTc 480 ms at baseline
NCT02775435,Radiation therapy,Lung RT >30 Gy within 6 months; palliative RT <7 days,Lung Cancer,Treatment History,Exclusion,Procedure,,Received lung RT 40 Gy within 6 months
NCT02296125,Radiotherapy,RT to >30% BM or wide field <4 weeks,Lung Cancer,Treatment History,Exclusion,Procedure,,Wide-field RT within 3 weeks
NCT02075840,RECIST 1.1,Measurable disease by CT/MRI,Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan measurable lesion per RECIST 1.1
NCT02220894,RECIST 1.1,Measurable disease,Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan showed measurable lesion per RECIST 1.1
NCT02366143,RECIST 1.1,Measurable disease,Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan measurable lesions per RECIST 1.1
NCT02477826,RECIST 1.1,Measurable disease by CT or MRI,Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan showed measurable lesion per RECIST 1.1
NCT02613507,RECIST 1.1,Measurable disease,Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan showed measurable lesion per RECIST 1.1
NCT02775435,RECIST 1.1,Measurable disease (local investigator/radiology),Lung Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),CT scan measurable lesions per RECIST 1.1
NCT02486718,Resection,Complete resection within 4 to 12 weeks; adequately recovered,Lung Cancer,Treatment History,Inclusion,Procedure,SNOMED: 122456005 (Excision of lung),Lobectomy performed 6 weeks ago
NCT03043872,SCLC (extensive),Histologically/cytologically confirmed extensive disease,Small Cell Lung Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254626006 (Small cell lung carcinoma); ICD-10: C34.x,Extensive-stage small cell lung carcinoma confirmed
NCT02486718,Squamous histology,Excluded for pemetrexed treatment,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 254632001,Squamous histology present
NCT02220894,Squamous NSCLC + prior carboplatin/paclitaxel,Adjuvant carboplatin + paclitaxel received,Lung Cancer,Treatment History,Exclusion,Procedure,,"Squamous histology, prior carboplatin + paclitaxel"
NCT02220894,Steroid use,Systemic steroids in less than or equal to 3 days,Lung Cancer,Treatment History,Exclusion,Medication,,Prednisone within 3 days of start
NCT02775435,Steroid use,Chronic systemic steroids,Lung Cancer,Treatment History,Exclusion,Medication,,Chronic prednisone use
NCT02296125,Study involvement,Involved in planning/conduct of study,Lung Cancer,Administrative,Exclusion,Consent,,Study staff not eligible
NCT02220894,Substance abuse,Recreational drug/alcohol use within past year,Lung Cancer,Clinical,Exclusion,Condition,,History of alcohol abuse
NCT02775435,Substance abuse,Recreational drug/alcohol use within past year,Lung Cancer,Clinical,Exclusion,Condition,,History of alcohol abuse
NCT02296125,Surgery,Major surgery <4 weeks before drug,Lung Cancer,Treatment History,Exclusion,Procedure,SNOMED: 387713003,Lobectomy 2 weeks ago
NCT02486718,Surgery,Major surgery witihin 28 days; anticipated need,Lung Cancer,Treatment History,Exclusion,Procedure,,Lobectomy planned in 2 weeks
NCT02775435,Surgery,Major surgery <3 weeks,Lung Cancer,Treatment History,Exclusion,Procedure,,Surgery 2 weeks before trial start
NCT02075840,Surgery recovery,Recovered from major surgery/trauma atleast 28 days before,Lung Cancer,Treatment History,Inclusion,Procedure,SNOMED: 387713003 (Surgical procedure),Recovered from lobectomy 5 weeks ago
NCT01774721,Surgery/radiotherapy/pleurodesis,Within 2 weeks of baseline,Lung Cancer,Treatment History,Exclusion,Procedure,,Palliative RT 1 week ago
NCT02296125,Systemic disease,"Severe/uncontrolled (e.g., HTN, bleeding, infection incl. HBV/HCV/HIV)",Lung Cancer,Comorbidity,Exclusion,Condition,LOINC: 5195-3 (HBV); 13955-0 (HCV); 7917-8 (HIV),Uncontrolled hypertension
NCT01774721,Tissue sample,Adequate for central analysis,Lung Cancer,Diagnostic Specimen,Inclusion,Specimen,,Archived tissue sample submitted
NCT02075840,Toxicities from prior therapy,Grade 3 or higher (excluding alopecia),Lung Cancer,Treatment History,Exclusion,Observation,,Radiation-induced toxicity Grade 3
NCT02486718,Transplant,Prior allogeneic bone marrow or solid organ transplant,Lung Cancer,Clinical,Exclusion,Procedure,,Kidney transplant history
NCT02296125,Treatment,No prior systemic therapy for advanced/metastatic NSCLC,Lung Cancer,Treatment History,Inclusion,Procedure,,No systemic therapy received
NCT02486718,Tuberculosis,Active TB,Lung Cancer,Infectious Disease,Exclusion,Observation,SNOMED: 56717001,Active pulmonary TB
NCT02296125,Tumor tissue,"Mandatory provision (unstained, archived) for EGFR analysis",Lung Cancer,Diagnostic Specimen,Inclusion,Specimen,,Archived tumor sample provided
NCT02220894,Tumor tissue submission,Formalin-fixed diagnostic specimen,Lung Cancer,Diagnostic Specimen,Inclusion,Specimen,,Formalin-fixed tumor specimen submitted
NCT02775435,Tumor tissue submission,From locations not radiated before biopsy,Lung Cancer,Diagnostic Specimen,Inclusion,Specimen,,Tumor specimen from non-radiated site provided
NCT02296125,WHO Performance status,0 to1; stable for around weeks; life expectancy atleast 12 weeks,Lung Cancer,Clinical,Inclusion,Observation,,WHO PS 1; stable disease
